OPERATOR,CASINONAME,Spins
operator01,Casino01 - V,2447248
operator02,City,2355583
operator01,Casino01 - JUK,1950172
operator03,NuevoG - Casino03.gr,1064791
operator02,Jose City Mobile - HTML 5,900494
operator10,sunsetA6 - HTML5 Mobile,871765
operator11,Casino11 NV - RafaelSportsandCasino.be,868392
operator01,Casino01 - MonopolyCasino.uk,796452
operator01,GameMahi - Taun.es,704863
operator01,Casino01 - StarSpins.uk,637842
operator12,T DE - T-games.de,614277
operator01,Casino01 - HhBingo2.uk,602422
operator01,GameMahi - RickyCasino.com,591946
operator02,Fast CAN - HTML5 Mobile,516762
operator13,Casino13 - SNew.com,501748
operator02,Jose City CAN Flash,490292
operator09,MGPSW17,482035
operator07,Casino07 - HTML5 Mobile,460393
operator14,Casino14 - HollandCasino.nl,435875
operator06,b-Casino04.com,317178
operator 20,Caliente - Caliente.mx,308837
operator01,GameMahi - MonopolyCasino.es,265114
operator15,PariMatch,262878
operator02,Bird2 (HTML5)(Malta),237805
operator02,Fast Mobile - HTML 5,197936
operator16,Xyz Gaming - Sc99.com,197669
operator06,b - Rizk.COM,192586
operator02,Phone7 (HTML5)(Malta),162218
operator09,MGPSW32,140571
operator02,Rojoardiente Fortune CAN - HTML5 Mobile,135671
operator02,Fast CAN - Flash,112326
operator17,Casino17 - Casino17.com,111820
operator06,b-B877.com,103546
operator02,Jose City Flash,91751
operator06,Fruitsnack.se,91384
operator02,Cloud88 Mobile - HTML 5,90072
operator09,MGPSW24,86425
operator07,Casino07 Mexico - Mobile Casino + Sports,81021
operator06,YouBet.com,78211
operator06,b-CasinoEuro.com,72938
operator02,Cloud88 CAN HTML5,72374
operator02,Silvercoinz Play (HTML5)(Malta),70391
operator06,Tresamigos.com,65713
operator07,Casino07 Malta - Desktop Casino,64009
operator02,Rojoardiente Fortune Mobile - HTML 5,58143
operator02,Bird2 (Flash)(Malta),51335
operator02,Clubneil CAN HTML5,50868
operator02,Clubneil Mobile - HTML 5,50841
operator06,b.se,46094
operator18,Deportivet Interactive - Deportivet.com,42108
operator02,Ocean99 CAN HTML5,42082
operator12,T DE - Mysino.de,40088
operator10,sunsetA6 Flash,38653
operator02,Rojoardiente Fortune CAN - Flash,36254
operator06,b - Xyz.COM,32125
operator02,Casita5 CAN - HTML5 Mobile,28110
operator06,b - Supercasino.ee,26527
operator06,Youbet.dk,26001
operator02,Fast Flash,24744
operator06,b-Helena.com,20446
operator02,Palacioapostador (HTML5)(Malta),18707
operator02,Vegas Palms (HTML5)(Malta),18696
operator06,Casino06 - B877.se,18212
operator02,Clubneil CAN Flash,14807
operator06,YouBet.se,14578
operator02,7 Ok777 (HTML5)(Malta),14498
operator02,Luckycat Mobile - HTML 5,14486
operator02,All Joses - HTML5 Mobile,14476
operator06,b-CasinoEuro.dk,13799
operator02,Fast Mexico Mobile,12150
operator02,Phone7 (Flash)(Malta),12025
operator02,Casita5 Casino Mobile - HTML 5,11878
operator02,RojoardienteFortune Casino Flash,11514
operator02,Silvercoinz Play (Flash)(Malta),10942
operator09,DEV55,7867
operator02,Cloud88 CAN Flash,7029
operator03,Sardine Demo Play (MIT),6501
operator02,Cloud88 Flash,6270
operator02,PALMERA234 FLASH,5129
operator02,Ocean99 CAN Flash,5092
operator02,Bird2 (HTML5)(MIT),4741
operator08,All Joses Flash Casino,4684
operator02,Red Flush (HTML5)(Malta),4319
operator02,Vegas Palms (Flash)(Malta),4138
operator02,Casita5 Flash Casino,3988
operator07,Casino07 Mexico - Desktop Casino + Sports,3934
operator02,Joses in a Flash HTML5 Mobile,3200
operator06,b - GoodMAL.com,2939
operator02,Casita5 CAN - Flash,2891
operator02,Ocean99 Flash,2759
operator06,b - CasinoWinner.com,2471
operator06,Sardine Demo Play MAL,2302
operator02,7 Ok777 (Flash)(Malta),2189
operator06,b - Good.se,1613
operator06,b - Rizk.se,1276
operator06,b - SharkMAL.com,1200
operator02,Clubneil CAN Viper,1059
operator02,Royal (Malta),742
operator02,Euro (Malta),676